volcano_number,volcano_name,eruption_number,eruption_start_year,event_number,event_type,eruption_category,vei,region,primary_volcano_type,tectonic_settings,elevation,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
300120,Zhupanovsky,20907,2013,151109,Thermal anomaly,Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20907,2013,151110,Phreatic activity,Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20907,2013,151111,Ash,Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20907,2013,151112,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20908,2014,151113,Explosion,Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20908,2014,151114,Ash,Confirmed Eruption,3.0,,,,,,,,,,,,,
300120,Zhupanovsky,20908,2014,151115,VEI (Explosivity Index),Confirmed Eruption,3.0,,,,,,,,,,,,,
312030,Pavlof,20909,2014,151116,Thermal anomaly,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151117,Lava flow(s),Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151118,Explosion,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151119,Ash,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151120,VEI (Explosivity Index),Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151121,Pyroclastic flow,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151122,Lava fountains,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
312030,Pavlof,20909,2014,151123,Lightning,Confirmed Eruption,3.0,Alaska,Stratovolcano,Subduction zone / Continental crust (>25 km),2493.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,0.0,0.0,0.0,3002.0
251030,Karkar,20910,2014,151124,Ash,Confirmed Eruption,1.0,Melanesia and Australia,Stratovolcano,Subduction zone / Continental crust (>25 km),1839.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,5.0,4159.0,20127.0,189841.0
251030,Karkar,20910,2014,151125,VEI (Explosivity Index),Confirmed Eruption,1.0,Melanesia and Australia,Stratovolcano,Subduction zone / Continental crust (>25 km),1839.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,5.0,4159.0,20127.0,189841.0
