volcano_number,volcano_name,eruption_number,eruption_start_year,event_number,event_type,eruption_category,vei,region,primary_volcano_type,tectonic_settings,elevation,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
358040,Michinmahuida,20857,1550,150986,VEI (Explosivity Index),Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),2452.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , ,0.0,9.0,7989.0,64498.0
358040,Michinmahuida,12272,-5500,150987,VEI (Explosivity Index),Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),2452.0,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , ,0.0,9.0,7989.0,64498.0
358020,Calbuco,20858,-8460,150989,Explosion,Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20858,-8460,150990,Ash,Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20858,-8460,150991,Pumice,Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20858,-8460,150992,VEI (Explosivity Index),Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,12239,-6760,150993,VEI (Explosivity Index),Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,12239,-6760,150994,Pumice,Confirmed Eruption,5.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,12240,-5820,150995,VEI (Explosivity Index),Confirmed Eruption,4.0,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20859,-8320,150996,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20859,-8320,150997,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20859,-8320,150998,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20860,-8210,150999,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20860,-8210,151000,Pumice,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20860,-8210,151001,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20861,-8100,151002,Explosion,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
358020,Calbuco,20861,-8100,151003,Ash,Confirmed Eruption,,South America,Stratovolcano,Subduction zone / Continental crust (>25 km),1974.0,Andesite / Basaltic Andesite, , , , ,70.0,871.0,32265.0,575233.0
